# SN t e_t_min e_t_max gr e_gr_min e_gr_max type marker 
ZTF18aapqwyv 2.111188 0.685375 0.529521 0.242970 0.368273 0.384782 normal* o 
ZTF18aapqwyv 3.032216 0.685375 0.529521 0.945111 0.297778 0.358075 normal* o 
ZTF18aapqwyv 3.974450 0.685375 0.529521 0.270548 0.168496 0.161108 normal* o 
ZTF18aapqwyv 4.973797 0.685375 0.529521 0.125119 0.193820 0.177315 normal* o 
ZTF18aapqwyv 16.227165 0.685375 0.529521 -0.131547 0.033107 0.033027 normal* o 
ZTF18aapqwyv 18.162335 0.685375 0.529521 -0.132536 0.033319 0.033304 normal* o 
ZTF18aapqwyv 19.107829 0.685375 0.529521 -0.101963 0.029150 0.028601 normal* o 
ZTF18aapqwyv 20.019225 0.685375 0.529521 -0.029062 0.038190 0.038387 normal* o 
ZTF18aapqwyv 23.876964 0.685375 0.529521 0.000452 0.025007 0.025107 normal* o 
ZTF18aapqwyv 25.771110 0.685375 0.529521 0.046246 0.037288 0.037255 normal* o 
ZTF18aapqwyv 33.292750 0.685375 0.529521 0.286094 0.141088 0.132772 normal* o 
ZTF18aapqwyv 34.233392 0.685375 0.529521 0.070252 0.160249 0.179151 normal* o 
ZTF18aapqwyv 42.709322 0.685375 0.529521 0.612423 0.112578 0.120058 normal* o 
ZTF18aapqwyv 43.683637 0.685375 0.529521 0.684401 0.135549 0.151327 normal* o 
ZTF18aapqwyv 45.577786 0.685375 0.529521 0.580539 0.129887 0.144686 normal* o 
ZTF18aapqwyv 46.526025 0.685375 0.529521 0.668933 0.136014 0.149470 normal* o 
ZTF18aapqwyv 47.501501 0.685375 0.529521 0.443351 0.158256 0.163493 normal* o 
ZTF18aapqwyv 48.389070 0.685375 0.529521 0.462870 0.104173 0.109557 normal* o 
ZTF18aapqwyv 49.363172 0.685375 0.529521 0.605823 0.165800 0.177318 normal* o 
ZTF18aapqwyv 50.292043 0.685375 0.529521 0.930037 0.194480 0.231835 normal* o 
ZTF18aapqwyv 51.204493 0.685375 0.529521 0.804967 0.130051 0.142898 normal* o 
ZTF18aapqwyv 52.203259 0.685375 0.529521 0.545314 0.133656 0.145642 normal* o 
ZTF18aapqwyv 53.149408 0.685375 0.529521 0.222913 0.131579 0.141425 normal* o 
ZTF18aapqwyv 54.070949 0.685375 0.529521 0.651014 0.201186 0.240053 normal* o 
ZTF18aapqwyv 56.889647 0.685375 0.529521 0.414671 0.251446 0.318141 normal* o 
ZTF18aapqwyv 57.891241 0.685375 0.529521 1.048926 0.202429 0.243773 normal* o 
ZTF18aapqwyv 58.805658 0.685375 0.529521 0.519713 0.188228 0.212105 normal* o 
ZTF18aapqwyv 59.722632 0.685375 0.529521 0.181274 0.196228 0.218144 normal* o 
ZTF18aapqwyv 69.236571 0.685375 0.529521 0.131975 0.192927 0.208547 normal* o 
ZTF18aapqwyv 70.181649 0.685375 0.529521 -0.069330 0.346066 0.354928 normal* o 
ZTF18aapqwyv 73.020604 0.685375 0.529521 0.123044 0.214485 0.225026 normal* o 
ZTF18aapqwyv 73.969563 0.685375 0.529521 -0.215552 0.322540 0.289331 normal* o 
ZTF18aapqwyv 74.867955 0.685375 0.529521 0.599850 0.236009 0.283392 normal* o 
ZTF18aapqwyv 75.823945 0.685375 0.529521 0.267438 0.301361 0.306581 normal* o 
ZTF18aapqwyv 79.593651 0.685375 0.529521 -0.200371 0.274565 0.252560 normal* o 
ZTF18aapqwyv 80.568695 0.685375 0.529521 -0.394160 0.353908 0.344377 normal* o 
ZTF18aapqwyv 81.530466 0.685375 0.529521 -0.487878 0.459871 0.394447 normal* o 
ZTF18aapqwyv 82.447682 0.685375 0.529521 0.821420 0.260897 0.314448 normal* o 
ZTF18aapqwyv 88.138513 0.685375 0.529521 -0.567643 0.488649 0.507783 normal* o 
ZTF18aapqwyv 97.600921 0.685375 0.529521 0.076765 0.418382 0.399854 normal* o 
ZTF18aapqwyv 98.525141 0.685375 0.529521 0.473628 0.359723 0.447488 normal* o 
ZTF18aapqwyv 99.477981 0.685375 0.529521 0.143364 0.349044 0.371717 normal* o 
ZTF18aapqwyv 133.507817 0.685375 0.529521 0.855524 0.328519 0.424692 normal* o 
ZTF18aapqwyv 134.472447 0.685375 0.529521 0.266854 0.249748 0.289398 normal* o 
ZTF18aapqwyv 136.343720 0.685375 0.529521 0.911185 0.335217 0.436904 normal* o 
ZTF18aapqwyv 139.190191 0.685375 0.529521 0.218442 0.344413 0.402101 normal* o 
ZTF18aapsedq 3.724433 0.309961 0.312010 -0.134025 0.156564 0.180778 normal* o 
ZTF18aapsedq 4.697738 0.309961 0.312010 0.190858 0.305194 0.260841 normal* o 
ZTF18aapsedq 14.017134 0.309961 0.312010 -0.195941 0.016919 0.016906 normal* o 
ZTF18aapsedq 14.942296 0.309961 0.312010 -0.177446 0.018989 0.018850 normal* o 
ZTF18aapsedq 15.895042 0.309961 0.312010 -0.173559 0.024509 0.024313 normal* o 
ZTF18aapsedq 16.875091 0.309961 0.312010 -0.256744 0.072813 0.068328 normal* o 
ZTF18aapsedq 17.746560 0.309961 0.312010 -0.222543 0.021940 0.021689 normal* o 
ZTF18aapsedq 18.699593 0.309961 0.312010 -0.203562 0.018216 0.018095 normal* o 
ZTF18aapsedq 19.638793 0.309961 0.312010 -0.205925 0.017249 0.017132 normal* o 
