Name Phase Si6355pew Si6355pewerr Si5972pew Si5972pewerr
SN2011fe -15. 108.1 0.9 15.3 0.8
SN2011fe -14. 111.1 1.4 17.7 0.5
SN2011fe -13. 111.7 1.2 21.7 0.8
SN2011fe -12. 109.9 1.1 23.4 0.5
SN2011fe -11. 105.7 0.8 25.0 0.5
SN2011fe -10. 97.4 1.1 24.6 0.6
SN2011fe  -9. 90.8 1.0 22.1 0.5
SN2011fe  -8. 85.9 1.0 20.0 0.8
SN2011fe  -7. 86.1 0.8 18.3 0.7
SN2011fe  -6. 86.3 0.8 18.5 0.6
SN2011fe  -5. 87.7 0.8 18.3 0.5
SN2011fe  -1. 97.8 0.6 16.9 0.3
SN2011fe  -0. 99.1 0.7 16.9 0.1
SN2011fe   1. 101.1 0.5 15.9 0.2
SN2011fe   2. 102.4 0.6 14.5 0.2
SN2011fe   3. 103.8 0.4 14.5 0.3
