Time	gZ	rZ	iZ
7.50E-01	-14.86005608	-14.66529004	-14.50375455
1.25E+00	-15.70940271	-15.50442171	-15.33996206
1.75E+00	-16.17900887	-16.01510054	-15.83225334
2.25E+00	-16.38737719	-16.21020647	-16.14723274
2.75E+00	-16.43467178	-16.3334186	-16.36200262
3.25E+00	-16.33714644	-16.37506389	-16.40418142
3.75E+00	-16.22306838	-16.36514491	-16.42829348
4.25E+00	-16.14325192	-16.31330201	-16.3982904
4.75E+00	-16.15280043	-16.38996519	-16.45503097
5.25E+00	-16.24098629	-16.50470508	-16.58347324
5.75E+00	-16.39348223	-16.68439154	-16.73599079
6.25E+00	-16.59341107	-16.92697578	-16.93711565
6.75E+00	-16.79359907	-17.14323777	-17.1286028
7.25E+00	-17.0015328	-17.34574606	-17.33650918
7.75E+00	-17.20566441	-17.52803388	-17.49935418
8.25E+00	-17.39296299	-17.68234498	-17.66223355
8.75E+00	-17.56466346	-17.82175925	-17.79320802
9.25E+00	-17.71738758	-17.95006755	-17.91026678
9.75E+00	-17.84666069	-18.06540251	-18.01614294
1.03E+01	-17.96807345	-18.14962391	-18.10498886
1.08E+01	-18.07009329	-18.22965376	-18.18451906
1.13E+01	-18.15622721	-18.29382058	-18.25436089
1.18E+01	-18.23276819	-18.35267458	-18.31915155
1.23E+01	-18.29283661	-18.41197802	-18.37835516
1.28E+01	-18.34765998	-18.45302949	-18.42828226
1.33E+01	-18.39762155	-18.49272803	-18.47711083
1.38E+01	-18.43330393	-18.52332666	-18.51419983
1.43E+01	-18.46864583	-18.55262175	-18.55092136
1.48E+01	-18.49814108	-18.57104351	-18.58396574
1.53E+01	-18.52335204	-18.58234251	-18.61719444
1.58E+01	-18.54897457	-18.59367601	-18.64819948
1.63E+01	-18.56902837	-18.60023921	-18.67698197
1.68E+01	-18.588314	-18.59678736	-18.69712802
1.73E+01	-18.60576322	-18.59363021	-18.71568117
1.78E+01	-18.61678494	-18.58026038	-18.72875392
1.83E+01	-18.62861494	-18.56608163	-18.74003701
1.88E+01	-18.6381651	-18.54580691	-18.74890209
1.93E+01	-18.63990918	-18.52089429	-18.75742632
1.98E+01	-18.63641599	-18.50125064	-18.76864427
2.03E+01	-18.62562889	-18.47601267	-18.77715844
2.08E+01	-18.61324355	-18.44905662	-18.7811005
2.13E+01	-18.60397585	-18.42439504	-18.77968847
2.18E+01	-18.5912413	-18.40057025	-18.77436309
2.23E+01	-18.57617072	-18.36923794	-18.76715849
2.28E+01	-18.55907879	-18.34041608	-18.76018161
2.33E+01	-18.54418328	-18.30912762	-18.7450583
2.38E+01	-18.52782469	-18.284921	-18.72792797
2.43E+01	-18.51141468	-18.26642429	-18.71253684
2.48E+01	-18.49489176	-18.25398223	-18.69154817
2.53E+01	-18.47808772	-18.23849924	-18.67812718
2.58E+01	-18.45720581	-18.21699203	-18.65963887
2.63E+01	-18.43542696	-18.20225648	-18.6474256
2.68E+01	-18.40640973	-18.18656835	-18.6332517
2.73E+01	-18.373152	-18.17307122	-18.62100771
2.78E+01	-18.33208316	-18.15973695	-18.60693405
2.83E+01	-18.27132284	-18.13889966	-18.57821773
2.88E+01	-18.18442903	-18.10562671	-18.47437901
2.93E+01	-18.03610419	-18.01701437	-18.231004
