Time	gZ	rZ	iZ
7.50E-01	-7.418429547	-5.729040085	-7.760110575
1.25E+00	-6.668422686	-7.137040222	-8.588734043
1.75E+00	-6.659226018	-7.492689612	-9.25064506
2.25E+00	-8.210069288	-9.416982913	-10.78154392
2.75E+00	-9.649765457	-10.75066017	-12.01629626
3.25E+00	-11.280399	-12.26982034	-13.03105804
3.75E+00	-12.72575902	-13.68901392	-14.03810865
4.25E+00	-14.09056359	-14.71953792	-14.77615061
4.75E+00	-14.97794446	-15.33851743	-15.34028738
5.25E+00	-15.58622702	-15.81663474	-15.80668213
5.75E+00	-16.04489042	-16.20819077	-16.23303956
6.25E+00	-16.40589695	-16.52836492	-16.59868802
6.75E+00	-16.70969573	-16.78811445	-16.94161349
7.25E+00	-16.95147642	-17.03452958	-17.23519485
7.75E+00	-17.1631552	-17.23787211	-17.48357131
8.25E+00	-17.33786533	-17.40065473	-17.69640089
8.75E+00	-17.48790187	-17.55321831	-17.87859034
9.25E+00	-17.6211436	-17.67355298	-18.02610039
9.75E+00	-17.73815587	-17.77947024	-18.14762547
1.03E+01	-17.82523141	-17.88162556	-18.25260856
1.08E+01	-17.91237898	-17.9594188	-18.33881819
1.13E+01	-17.97424653	-18.01860258	-18.42016109
1.18E+01	-18.03013893	-18.07635546	-18.48189491
1.23E+01	-18.08007274	-18.13301734	-18.53499148
1.28E+01	-18.11856305	-18.16688276	-18.57853086
1.33E+01	-18.15265462	-18.20286452	-18.61865056
1.38E+01	-18.18392468	-18.22738137	-18.65273207
1.43E+01	-18.20896616	-18.24584138	-18.67356849
1.48E+01	-18.23193538	-18.2629062	-18.69058733
1.53E+01	-18.24723573	-18.27648209	-18.70708646
1.58E+01	-18.26554791	-18.28624803	-18.71971834
1.63E+01	-18.28291014	-18.2886906	-18.72445887
1.68E+01	-18.29964206	-18.28898447	-18.71860762
1.73E+01	-18.31491423	-18.29005238	-18.71173522
1.78E+01	-18.32852069	-18.28931982	-18.7031165
1.83E+01	-18.34568926	-18.2809217	-18.69061291
1.88E+01	-18.35511171	-18.27589366	-18.67521451
1.93E+01	-18.36951326	-18.26076798	-18.65537322
1.98E+01	-18.3838977	-18.25441606	-18.63296802
2.03E+01	-18.39171836	-18.24751874	-18.6106238
2.08E+01	-18.39770756	-18.24783637	-18.5885235
2.13E+01	-18.40559292	-18.24463469	-18.56195986
2.18E+01	-18.41509422	-18.23784063	-18.53697033
2.23E+01	-18.4186078	-18.22966736	-18.50703083
2.28E+01	-18.42036635	-18.2207992	-18.48099862
2.33E+01	-18.42012391	-18.20830262	-18.45603433
2.38E+01	-18.41520446	-18.20262198	-18.43055856
2.43E+01	-18.41041605	-18.19450999	-18.40537428
2.48E+01	-18.40068263	-18.17978301	-18.38156209
2.53E+01	-18.38390363	-18.16059015	-18.35421843
2.58E+01	-18.36309692	-18.14677042	-18.32927825
2.63E+01	-18.34017478	-18.1336916	-18.31376952
2.68E+01	-18.31535011	-18.11507241	-18.3011945
2.73E+01	-18.28559189	-18.09698322	-18.28786072
2.78E+01	-18.25242549	-18.08065797	-18.26727562
2.83E+01	-18.21395182	-18.0502047	-18.22831664
2.88E+01	-18.16133394	-18.02311459	-18.14359996
2.93E+01	-18.05632192	-17.95044745	-17.93408063
