specname							vsi6355		vsi6355_err   vsi5972	si5972_err	vs5500    vs5500err     vcair		vcair_err vcairhvf	vcairhvf_err pewsi6355 pewsi6355_err  pewsi5972 pewsi5972_err     pewcair		pewcair_err 	pewcairhvf		pewcairhvf_err
ZTF19adcecwu_20191231_LT_v1.ascii    21107         466       21519         848       -            -          -            -          -            -     40.0       1.6      15.0      2.7        -         -         -          - 
ZTF19adcecwu_20200102_LT_v1.ascii    19697         455       18342         474     -            -          -            -          -            -       115.3      7.3      38.6      1.3        -         -         -          - 
ZTF19adcecwu_20200103_LT_v1.ascii    18368         450       17166         450       -            -          -            -          -            -     150.6      2.2      60.8      1.9          -         -         -          - 
ZTF19adcecwu_20200104_LT_v1.ascii 18264 		   451		 17054 		   455		 15039		   463178.0      9.4      70.6      9.3          -      175.0      1.2      66.9   	  1.4
ZTF19adcecwu_20200105_LT_v1.ascii    18028         450       16523         449       14959         464       -            -          -            -     177.9      1.6      62.3      1.1          -         -         -          - 
ZTF19adcecwu_20200106_LT_v1.ascii 17317		   450		 15977		   450       14346		   456185.6      9.3      54.1      9.2          -      184.6      0.8      51.8 	  0.8          -         -         -          - 
ZTF19adcecwu_20200112_LT_v1.ascii    16051         451       14235         495       12794         450       -            -          -            -     179.4      3.2      17.0      2.0          -         -         -          - 
ZTF19adcecwu_20200112_P60_v1.ascii   15426        1249       13702        1258       11961        1249       13131        1249       22650        1249  184.0      2.0      17.4      1.3     210.5      1.8      111.0      1.1
ZTF19adcecwu_20200115_P60_v1.ascii   14917        1249       14129        1249       11073        1249       13130        1249       23107        1249  182.8      1.1      13.0      1.6     226.2      3.4      56.2       3.2
ZTF19adcecwu_20200118_MMT_v1.ascii   -            -            -            -         9965          27       -            -          -            -      -            -      -        -        -         -          -            -    
ZTF19adcecwu_20200124_Keck1_v1.ascii 12965          59       12214          74       -            -           9724          58       15467          59  182.7      0.7      13.8      0.4     196.0      0.8      119.0      0.3
ZTF19adcecwu_20200125_P60_v1.ascii   12875        1249       12738        1252       -            -           9657        1249       15536        1249  180.8      1.5      8.9       1.0     207.5      2.1      117.2      1.6

