specname phase mjd
ZTF19adcecwu_20191231_LT_v1.ascii -14.926393897361242 58848.273298
ZTF19adcecwu_20200102_LT_v1.ascii -12.940820289275894 58850.277536
ZTF19adcecwu_20200103_LT_v1.ascii -12.014008321770008 58851.21306
ZTF19adcecwu_20200104_LT_v1.ascii -11.16135922329585 58852.073724
ZTF19adcecwu_20200105_LT_v1.ascii -10.17071824846066 58853.073677
ZTF19adcecwu_20200106_LT_v1.ascii -9.030288290071647 58854.224827
ZTF19adcecwu_20200112_LT_v1.ascii -3.184035070334227 58860.126035
ZTF19adcecwu_20200112_P60_v1.ascii -2.976456409557033 58860.33556490019
ZTF19adcecwu_20200115_P60_v1.ascii 0.040854368933049966 58863.3812384
ZTF19adcecwu_20200118_MMT_v1.ascii 3.1273826035316037 58866.49678
ZTF19adcecwu_20200124_Keck1_v1.ascii 9.186451357242102 58872.612804
ZTF19adcecwu_20200125_P60_v1.ascii 9.867772339895204 58873.30052939989
ZTF19adcecwu_20200127_P60_v1.ascii 12.084666138146693 58875.53826199984
ZTF19adcecwu_20200129_NOT_v1.ascii 14.617376659404535 58878.09478
ZTF19adcecwu_20200201_P60_v1.ascii 16.88801010490424 58880.38675739989
ZTF19adcecwu_20200208_LT_v1.ascii 23.54133049336338 58887.102619
ZTF19adcecwu_20200209_LT_v1.ascii 24.50029225282435 58888.070595
ZTF19adcecwu_20200210_LT_v1.ascii 25.395732118095594 58888.974452
ZTF19adcecwu_20200211_LT_v1.ascii 26.424428373297374 58890.012818
ZTF19adcecwu_20200212_LT_v1.ascii 27.46206459283346 58891.060208
ZTF19adcecwu_20200213_P60_v1.ascii 28.635975629207653 58892.24515380012
ZTF19adcecwu_20200221_P60_v1.ascii 36.53368139487807 58900.21709799999
ZTF19adcecwu_20200227_P200_v1.ascii 42.70853972657081 58906.45
ZTF19adcecwu_20200229_P60_v1.ascii 44.5570317018064 58908.3158677998
ZTF19adcecwu_20200322_Keck1_v1.ascii 66.50954329305155 58930.474733
